nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Brasil,213993437,8515767,America
Chile,19458310,756102,America
Colombia,51874024,1141748,America
Peru,33359418,1285216,America
Alemania,83149300,357022,Europa
Francia,67413000,551695,Europa
España,47431256,505990,Europa
Italia,60317116,301340,Europa
Reino Unido,67886011,243610,Europa
China,1412600000,9596960,Asia
Japon,125800000,377975,Asia
India,1380004385,3287263,Asia
Corea del Sur,51780579,100210,Asia
Indonesia,273523615,1904569,Asia
Nigeria,211400708,923768,Africa
Etiopia,117876227,1104300,Africa
Egipto,102334404,1001450,Africa
Sudafrica,59308690,1221037,Africa
Kenya,54985698,580367,Africa
Australia,25687041,7692024,Oceania
Nueva Zelanda,5084300,270467,Oceania
